sample_id,score,minority_pixels,minority_buildings,background_pixels,no_damage_pixels,minor_damage_pixels,major_damage_pixels,destroyed_pixels,background_buildings,no_damage_buildings,minor_damage_buildings,major_damage_buildings,destroyed_buildings,pre_image,post_image,pre_label,post_label
nepal-flooding_00000509,443.4285,45505,94,1003071,0,28885,16620,0,0,0,71,23,0,data/tier3/train/images/nepal-flooding_00000509_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000509_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000509_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000509_post_disaster.json
nepal-flooding_00000347,440.55559999999997,24358,100,968227,55991,16241,8117,0,0,296,65,35,0,data/tier3/train/images/nepal-flooding_00000347_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000347_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000347_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000347_post_disaster.json
nepal-flooding_00000436,433.5014,37298,110,979809,31250,16560,20738,219,0,118,44,66,2,data/tier3/train/images/nepal-flooding_00000436_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000436_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000436_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000436_post_disaster.json
nepal-flooding_00000028,386.3133,18619,82,990128,39090,13638,4981,739,0,230,63,19,12,data/tier3/train/images/nepal-flooding_00000028_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000028_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000028_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000028_post_disaster.json
nepal-flooding_00000020,372.7608,42376,76,943269,62931,30240,12136,0,0,119,63,13,0,data/tier3/train/images/nepal-flooding_00000020_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000020_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000020_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000020_post_disaster.json
nepal-flooding_00000344,371.5994,60412,95,971886,16278,22379,38033,0,0,35,32,63,0,data/tier3/train/images/nepal-flooding_00000344_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000344_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000344_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000344_post_disaster.json
nepal-flooding_00000307,369.4455,34193,80,1006324,8059,25938,8255,0,0,25,57,23,0,data/tier3/train/images/nepal-flooding_00000307_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000307_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000307_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000307_post_disaster.json
nepal-flooding_00000250,365.256,16734,89,1031370,0,8679,8055,472,0,0,44,45,7,data/tier3/train/images/nepal-flooding_00000250_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000250_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000250_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000250_post_disaster.json
nepal-flooding_00000618,352.4074,24286,73,922898,101392,20608,3678,0,0,215,61,12,0,data/tier3/train/images/nepal-flooding_00000618_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000618_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000618_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000618_post_disaster.json
nepal-flooding_00000516,337.8309,32509,74,980006,36061,20391,12118,0,0,88,51,23,0,data/tier3/train/images/nepal-flooding_00000516_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000516_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000516_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000516_post_disaster.json
nepal-flooding_00000197,324.03200000000004,28592,73,1010793,9191,22272,6320,0,0,24,46,27,0,data/tier3/train/images/nepal-flooding_00000197_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000197_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000197_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000197_post_disaster.json
nepal-flooding_00000465,316.8152,23910,66,969782,54884,18211,5699,0,0,206,54,12,0,data/tier3/train/images/nepal-flooding_00000465_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000465_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000465_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000465_post_disaster.json
nepal-flooding_00000575,306.8256,28184,61,1020392,0,26852,1332,0,0,0,55,6,0,data/tier3/train/images/nepal-flooding_00000575_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000575_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000575_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000575_post_disaster.json
nepal-flooding_00000173,306.4581,16867,73,1008924,22622,9490,7377,163,0,86,40,33,1,data/tier3/train/images/nepal-flooding_00000173_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000173_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000173_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000173_post_disaster.json
nepal-flooding_00000341,291.9646,41188,67,1007388,0,23041,18147,0,0,0,37,30,0,data/tier3/train/images/nepal-flooding_00000341_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000341_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000341_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000341_post_disaster.json
nepal-flooding_00000295,291.0253,66339,69,939518,42719,30618,35721,0,0,47,29,40,0,data/tier3/train/images/nepal-flooding_00000295_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000295_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000295_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000295_post_disaster.json
nepal-flooding_00000249,288.6106,63698,70,958133,26745,27506,36192,0,0,37,27,43,0,data/tier3/train/images/nepal-flooding_00000249_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000249_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000249_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000249_post_disaster.json
nepal-flooding_00000209,286.67069999999995,21997,56,930736,95843,20358,1639,0,0,356,54,2,0,data/tier3/train/images/nepal-flooding_00000209_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000209_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000209_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000209_post_disaster.json
nepal-flooding_00000443,284.4537,22285,73,1001737,24048,8841,13444,506,0,81,27,46,6,data/tier3/train/images/nepal-flooding_00000443_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000443_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000443_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000443_post_disaster.json
nepal-flooding_00000531,255.7712,23184,51,895686,129383,19080,4104,323,0,384,45,6,4,data/tier3/train/images/nepal-flooding_00000531_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000531_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000531_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000531_post_disaster.json
nepal-flooding_00000194,249.81109999999998,15923,50,1005468,27185,15171,752,0,0,104,46,4,0,data/tier3/train/images/nepal-flooding_00000194_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000194_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000194_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000194_post_disaster.json
nepal-flooding_00000235,242.56140000000002,17776,56,1018306,12129,8643,9133,365,0,52,33,23,3,data/tier3/train/images/nepal-flooding_00000235_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000235_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000235_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000235_post_disaster.json
nepal-flooding_00000467,242.1285,21529,52,988325,38577,13349,8180,145,0,115,38,14,2,data/tier3/train/images/nepal-flooding_00000467_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000467_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000467_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000467_post_disaster.json
nepal-flooding_00000492,241.0906,26296,46,996032,26248,26009,287,0,0,113,45,1,0,data/tier3/train/images/nepal-flooding_00000492_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000492_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000492_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000492_post_disaster.json
nepal-flooding_00000126,240.7189,19451,57,988384,40741,9418,10033,0,0,141,31,26,0,data/tier3/train/images/nepal-flooding_00000126_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000126_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000126_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000126_post_disaster.json
nepal-flooding_00000119,237.75990000000002,32593,50,995432,20226,22410,10183,325,0,38,36,14,3,data/tier3/train/images/nepal-flooding_00000119_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000119_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000119_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000119_post_disaster.json
nepal-flooding_00000337,236.16910000000001,39947,65,1005035,3435,10925,29022,159,0,10,13,52,2,data/tier3/train/images/nepal-flooding_00000337_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000337_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000337_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000337_post_disaster.json
nepal-flooding_00000511,234.8475,7943,47,1028112,12521,7323,620,0,0,43,45,2,0,data/tier3/train/images/nepal-flooding_00000511_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000511_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000511_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000511_post_disaster.json
nepal-flooding_00000200,232.7631,10959,58,1033079,4345,4877,6082,193,0,29,27,31,1,data/tier3/train/images/nepal-flooding_00000200_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000200_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000200_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000200_post_disaster.json
nepal-flooding_00000374,230.74849999999998,18275,48,934731,95528,13830,4445,42,0,205,39,9,1,data/tier3/train/images/nepal-flooding_00000374_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000374_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000374_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000374_post_disaster.json
nepal-flooding_00000310,230.5078,16024,61,1029807,2512,6003,10021,233,0,10,20,41,3,data/tier3/train/images/nepal-flooding_00000310_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000310_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000310_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000310_post_disaster.json
nepal-flooding_00000022,224.7874,19346,50,1002333,26828,12418,6928,69,0,100,33,17,1,data/tier3/train/images/nepal-flooding_00000022_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000022_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000022_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000022_post_disaster.json
nepal-flooding_00000034,224.3204,10334,46,1017589,20079,8601,1733,574,0,147,40,6,3,data/tier3/train/images/nepal-flooding_00000034_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000034_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000034_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000034_post_disaster.json
nepal-flooding_00000368,223.5403,22349,67,1025764,0,1678,20671,463,0,0,7,60,3,data/tier3/train/images/nepal-flooding_00000368_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000368_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000368_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000368_post_disaster.json
nepal-flooding_00000303,223.5135,27601,57,961189,59149,11166,16435,637,0,169,20,37,4,data/tier3/train/images/nepal-flooding_00000303_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000303_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000303_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000303_post_disaster.json
nepal-flooding_00000567,218.7625,22511,46,985095,40970,20046,2465,0,0,95,35,11,0,data/tier3/train/images/nepal-flooding_00000567_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000567_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000567_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000567_post_disaster.json
nepal-flooding_00000031,218.5215,14035,46,990214,44327,11555,2480,0,0,166,37,9,0,data/tier3/train/images/nepal-flooding_00000031_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000031_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000031_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000031_post_disaster.json
nepal-flooding_00000323,216.47930000000002,15757,52,1011058,21761,8761,6996,0,0,91,27,25,0,data/tier3/train/images/nepal-flooding_00000323_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000323_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000323_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000323_post_disaster.json
nepal-flooding_00000025,212.24040000000002,8794,44,1032632,7150,8011,783,0,0,39,38,6,0,data/tier3/train/images/nepal-flooding_00000025_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000025_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000025_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000025_post_disaster.json
nepal-flooding_00000304,211.5909,44701,51,989506,14369,15903,28798,0,0,24,21,30,0,data/tier3/train/images/nepal-flooding_00000304_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000304_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000304_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000304_post_disaster.json
nepal-flooding_00000370,211.1726,8500,42,1037082,2611,8113,387,383,0,19,40,2,2,data/tier3/train/images/nepal-flooding_00000370_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000370_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000370_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000370_post_disaster.json
nepal-flooding_00000331,210.4623,26749,50,984104,37300,12188,14561,423,0,89,24,26,4,data/tier3/train/images/nepal-flooding_00000331_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000331_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000331_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000331_post_disaster.json
nepal-flooding_00000044,210.047,19094,40,998506,30959,19094,0,17,0,119,40,0,1,data/tier3/train/images/nepal-flooding_00000044_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000044_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000044_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000044_post_disaster.json
nepal-flooding_00000325,206.8707,36017,53,1005417,7142,15328,20689,0,0,10,17,36,0,data/tier3/train/images/nepal-flooding_00000325_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000325_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000325_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000325_post_disaster.json
nepal-flooding_00000333,205.509,50304,50,984039,12738,19589,30715,1495,0,18,17,33,5,data/tier3/train/images/nepal-flooding_00000333_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000333_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000333_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000333_post_disaster.json
nepal-flooding_00000165,202.36780000000002,9746,44,1018807,20023,7220,2526,0,0,79,33,11,0,data/tier3/train/images/nepal-flooding_00000165_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000165_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000165_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000165_post_disaster.json
nepal-flooding_00000551,190.466,18446,40,1014759,15371,14661,3785,0,0,41,31,9,0,data/tier3/train/images/nepal-flooding_00000551_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000551_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000551_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000551_post_disaster.json
nepal-flooding_00000383,186.3825,22765,35,961157,64654,22765,0,0,0,153,35,0,0,data/tier3/train/images/nepal-flooding_00000383_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000383_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000383_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000383_post_disaster.json
nepal-flooding_00000489,184.6722,15934,42,996151,36491,9460,6474,0,0,157,26,16,0,data/tier3/train/images/nepal-flooding_00000489_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000489_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000489_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000489_post_disaster.json
nepal-flooding_00000260,178.131,18224,48,1029347,679,3319,14905,326,0,2,13,35,4,data/tier3/train/images/nepal-flooding_00000260_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000260_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000260_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000260_post_disaster.json
nepal-flooding_00000253,178.126,18354,45,985860,44067,8099,10255,295,0,102,17,28,4,data/tier3/train/images/nepal-flooding_00000253_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000253_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000253_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000253_post_disaster.json
nepal-flooding_00000480,173.697,17592,36,940025,90959,12097,5495,0,0,322,29,7,0,data/tier3/train/images/nepal-flooding_00000480_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000480_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000480_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000480_post_disaster.json
nepal-flooding_00000439,172.7376,12064,52,1034666,1719,592,11472,127,0,10,6,46,2,data/tier3/train/images/nepal-flooding_00000439_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000439_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000439_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000439_post_disaster.json
nepal-flooding_00000387,169.7831,14057,46,1028812,5666,5330,8727,41,0,20,13,33,1,data/tier3/train/images/nepal-flooding_00000387_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000387_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000387_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000387_post_disaster.json
nepal-flooding_00000018,166.6454,23796,49,1024780,0,2533,21263,0,0,0,6,43,0,data/tier3/train/images/nepal-flooding_00000018_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000018_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000018_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000018_post_disaster.json
nepal-flooding_00000373,165.3808,14234,35,1012593,20449,10553,3681,1300,0,88,26,9,4,data/tier3/train/images/nepal-flooding_00000373_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000373_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000373_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000373_post_disaster.json
nepal-flooding_00000564,161.0093,24441,31,859216,164919,23385,1056,0,0,221,28,3,0,data/tier3/train/images/nepal-flooding_00000564_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000564_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000564_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000564_post_disaster.json
nepal-flooding_00000170,158.0621,28221,31,1009936,10419,22979,5242,0,0,18,26,5,0,data/tier3/train/images/nepal-flooding_00000170_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000170_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000170_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000170_post_disaster.json
nepal-flooding_00000522,157.1303,10459,32,1036874,1243,9963,496,0,0,5,28,4,0,data/tier3/train/images/nepal-flooding_00000522_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000522_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000522_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000522_post_disaster.json
nepal-flooding_00000082,156.188,9272,36,1026986,12257,4532,4740,61,0,54,22,14,1,data/tier3/train/images/nepal-flooding_00000082_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000082_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000082_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000082_post_disaster.json
nepal-flooding_00000413,156.07850000000002,14509,36,1023019,11048,8629,5880,0,0,33,21,15,0,data/tier3/train/images/nepal-flooding_00000413_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000413_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000413_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000413_post_disaster.json
nepal-flooding_00000109,154.7808,6434,35,1028286,13766,4253,2181,90,0,52,23,12,2,data/tier3/train/images/nepal-flooding_00000109_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000109_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000109_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000109_post_disaster.json
nepal-flooding_00000541,154.45579999999998,7386,31,1041190,0,6200,1186,0,0,0,29,2,0,data/tier3/train/images/nepal-flooding_00000541_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000541_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000541_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000541_post_disaster.json
nepal-flooding_00000023,154.03130000000002,14877,36,1012243,21456,7841,7036,0,0,74,20,16,0,data/tier3/train/images/nepal-flooding_00000023_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000023_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000023_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000023_post_disaster.json
nepal-flooding_00000085,150.6673,7031,40,1041545,0,2790,4241,0,0,0,14,26,0,data/tier3/train/images/nepal-flooding_00000085_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000085_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000085_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000085_post_disaster.json
nepal-flooding_00000362,150.3836,4500,32,1041904,2138,2668,1832,34,0,26,26,6,1,data/tier3/train/images/nepal-flooding_00000362_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000362_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000362_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000362_post_disaster.json
nepal-flooding_00000606,149.5924,26150,36,1017457,4969,8737,17413,0,0,14,16,20,0,data/tier3/train/images/nepal-flooding_00000606_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000606_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000606_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000606_post_disaster.json
nepal-flooding_00000317,149.5711,6631,37,1030828,11117,2909,3722,0,0,52,18,19,0,data/tier3/train/images/nepal-flooding_00000317_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000317_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000317_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000317_post_disaster.json
nepal-flooding_00000203,148.8913,8191,35,1006352,33966,4670,3521,67,0,124,20,15,1,data/tier3/train/images/nepal-flooding_00000203_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000203_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000203_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000203_post_disaster.json
nepal-flooding_00000152,148.4084,13658,32,1026772,8146,11555,2103,0,0,21,23,9,0,data/tier3/train/images/nepal-flooding_00000152_pre_disaster.png,data/tier3/train/images/nepal-flooding_00000152_post_disaster.png,data/tier3/train/labels/nepal-flooding_00000152_pre_disaster.json,data/tier3/train/labels/nepal-flooding_00000152_post_disaster.json
